dimension,algorithm,function,min,max,mean,std,median,1_quart,3_quart
50,DIRECTL,Modified_schwefel,5228.401747889149,23510.7167593307,17219.027632081586,2781.9113468252076,17582.82096369701,15422.713379456029,19329.223756389754
50,DIRECTR,Modified_schwefel,3948.8191129388833,19727.34725409217,5488.848179311426,3404.9132468896614,3949.170077734874,3948.820975621855,4000.0363268886867
50,SOO,Modified_schwefel,5114.520168564612,18737.89711589615,9089.838084299296,3386.3901194795485,8732.301787984552,5917.6763771811075,12218.873809840712
50,DIRECTBs,Modified_schwefel,5207.521806866558,19297.45851791332,5280.712810654603,749.5082091779956,5207.521806866562,5207.52180686656,5207.521806866562
50,FDABs,Modified_schwefel,9134.941731271949,22964.41631569061,9512.977599223925,1326.4061588985971,9273.149969920862,9273.149967202256,9305.513987043954
50,FDADBs,Modified_schwefel,9233.688558297032,23196.213917408702,12258.392392394138,4001.3049633231412,10126.407024931568,9268.410051546967,14079.253865576857
50,FDAC,Modified_schwefel,9156.325267940072,21949.84938533745,9559.376875713411,1222.7098675020093,9294.533533971193,9294.533503870383,9511.836130821172
50,FDAD,Modified_schwefel,9233.688558297032,23196.213917408702,12258.392392394138,4001.3049633231412,10126.407024931568,9268.410051546967,14079.253865576857
50,SOOBs,Modified_schwefel,7180.360918577735,17954.039713183025,7190.055689457533,244.08912792532146,7180.363090233615,7180.362266935452,7180.365160435538
100,FDA,Modified_schwefel,16323.17507310999,45166.07210394759,17033.669724978823,2200.4240306475845,16816.77636000369,16777.168292477156,16896.720023857168
100,DIRECT,Modified_schwefel,12203.702364777471,41480.94557742479,29764.722119858172,4154.296808518093,29774.28534214919,27817.87329765885,32244.48523676995
100,DIRECTL,Modified_schwefel,12548.24680496049,43823.85202057144,33363.45747360421,6327.672399492729,35045.92552138761,30814.34477779173,37607.73398672271
100,DIRECTR,Modified_schwefel,12880.252955556844,41248.40422793092,17206.795451589347,6305.467384572208,12993.086234512426,12881.445164210976,22259.41828718608
100,SOO,Modified_schwefel,11031.610067610303,41691.32928140017,23866.474560184448,6845.894704507642,25105.547959245618,18293.140447136375,28783.127043518827
100,DIRECTBs,Modified_schwefel,12550.542876958967,41248.40422793092,12768.508798232819,1680.880398401548,12550.542876959693,12550.542876959124,12550.542876962363
